Sobota,1.1.,Nový rok,Ubývá
Neděle,2.1.,Karina,NOV
Pondělí,3.1.,Radmila,Dorůstá
Úterý,4.1.,Diana,Dorůstá
Středa,5.1.,Dalimil,Dorůstá
Čtvrtek,6.1.,Tři králové,Dorůstá
Pátek,7.1.,Vilma,Dorůstá
Sobota,8.1.,Čestmír,Dorůstá
Neděle,9.1.,Vladan,Dorůstá
Pondělí,10.1.,Břetislav,Dorůstá
Úterý,11.1.,Bohdana,Dorůstá
Středa,12.1.,Pravoslav,Dorůstá
Čtvrtek,13.1.,Edita,Dorůstá
Pátek,14.1.,Radovan,Dorůstá
Sobota,15.1.,Alice,Dorůstá
Neděle,16.1.,Ctirad,Dorůstá
Pondělí,17.1.,Drahoslav,Dorůstá
Úterý,18.1.,Vladislav,Úplněk
Středa,19.1.,Doubravka,Ubývá
Čtvrtek,20.1.,Ilona,Ubývá
Pátek,21.1.,Běla,Ubývá
Sobota,22.1.,Slavomír,Ubývá
Neděle,23.1.,Zdeněk,Ubývá
Pondělí,24.1.,Milena,Ubývá
Úterý,25.1.,Miloš,Ubývá
Středa,26.1.,Zora,Ubývá
Čtvrtek,27.1.,Ingrid,Ubývá
Pátek,28.1.,Otýlie,Ubývá
Sobota,29.1.,Zdislava,Ubývá
Neděle,30.1.,Robin,Ubývá
Pondělí,31.1.,Marika,Ubývá
Úterý,1.2.,Hynek,NOV
Středa,2.2.,Nela a Hromnice,Dorůstá
Čtvrtek,3.2.,Blažej,Dorůstá
Pátek,4.2.,Jarmila,Dorůstá
Sobota,5.2.,Dobromila,Dorůstá
Neděle,6.2.,Vanda,Dorůstá
Pondělí,7.2.,Veronika,Dorůstá
Úterý,8.2.,Milada,Dorůstá
Středa,9.2.,Apolena,Dorůstá
Čtvrtek,10.2.,Mojmír,Dorůstá
Pátek,11.2.,Božena,Dorůstá
Sobota,12.2.,Slavěna,Dorůstá
Neděle,13.2.,Věnceslav,Dorůstá
Pondělí,14.2.,Valentýn,Dorůstá
Úterý,15.2.,Jiřina,Dorůstá
Středa,16.2.,Ljuba,Úplněk
Čtvrtek,17.2.,Miloslava,Ubývá
Pátek,18.2.,Gizela,Ubývá
Sobota,19.2.,Patrik,Ubývá
Neděle,20.2.,Oldřich,Ubývá
Pondělí,21.2.,Lenka,Ubývá
Úterý,22.2.,Petr,Ubývá
Středa,23.2.,Svatopluk,Ubývá
Čtvrtek,24.2.,Matěj,Ubývá
Pátek,25.2.,Liliana,Ubývá
Sobota,26.2.,Dorota,Ubývá
Neděle,27.2.,Alexandr,Ubývá
Pondělí,28.2.,Lumír,Ubývá
Úterý,1.3.,Bedřich,Ubývá
Středa,2.3.,Anežka,NOV
Čtvrtek,3.3.,Kamil,Dorůstá
Pátek,4.3.,Stela,Dorůstá
Sobota,5.3.,Kazimír,Dorůstá
Neděle,6.3.,Miroslav,Dorůstá
Pondělí,7.3.,Tomáš,Dorůstá
Úterý,8.3.,Gabriela,Dorůstá
Středa,9.3.,Františka,Dorůstá
Čtvrtek,10.3.,Viktorie,Dorůstá
Pátek,11.3.,Anděla,Dorůstá
Sobota,12.3.,Řehoř,Dorůstá
Neděle,13.3.,Růžena,Dorůstá
Pondělí,14.3.,Rút a Matylda,Dorůstá
Úterý,15.3.,Ida,Dorůstá
Středa,16.3.,Elena a Herbert,Dorůstá
Čtvrtek,17.3.,Vlastimil,Dorůstá
Pátek,18.3.,Eduard,Úplněk
Sobota,19.3.,Josef,Ubývá
Neděle,20.3.,Světlana,Ubývá
Pondělí,21.3.,Radek,Ubývá
Úterý,22.3.,Leona,Ubývá
Středa,23.3.,Ivona,Ubývá
Čtvrtek,24.3.,Gabriel,Ubývá
Pátek,25.3.,Marián,Ubývá
Sobota,26.3.,Emanuel,Ubývá
Neděle,27.3.,Dita,Ubývá
Pondělí,28.3.,Soňa,Ubývá
Úterý,29.3.,Taťána,Ubývá
Středa,30.3.,Arnošt,Ubývá
Čtvrtek,31.3.,Kvido,Ubývá
Pátek,1.4.,Hugo,NOV
Sobota,2.4.,Erika,Dorůstá
Neděle,3.4.,Richard,Dorůstá
Pondělí,4.4.,Ivana,Dorůstá
Úterý,5.4.,Miroslava,Dorůstá
